q-img__image src,text-075,gt-xs,text-0875,q-icon,text-0875 (2),text-125,text-0875 (4),text-125 (2),text-100,text-0875 (6),q-btn href,block (3)
https://assets.comparepower.com/images/frontier_utilities.svg,PUCT # 10169,12 Months,lock Locked Rate,lock,30.4% Green Energy,8.9¢,($89.38 ÷ 1000 kWh),$89.38,Saver Plus 12,Great for medium to large size homes! Enjoy a $125 Usage Credit for each billing cycle when your usage on this plan is above or equal to 1000 kWh. New Customer 60 Day Happiness Guarantee!,tel:866-280-3131,866-280-3131
https://assets.comparepower.com/images/gexa_energy.svg,PUCT # 10027,12 Months,lock Locked Rate,lock,100% Green Energy,8.9¢,($89.38 ÷ 1000 kWh),$89.38,Eco Saver Plus 12,Great for small to medium size homes! Enjoy a $125 Usage Credit for each billing cycle when your usage on this plan is above or equal to 1000 kWh. 100% Green! New Customers 60 Day Happiness Guarantee!,tel:888-688-8460,888-688-8460
https://assets.comparepower.com/images/4change_energy.svg,PUCT # 10041,12 Months,lock Locked Rate,lock,9% Green Energy,8.9¢,($89.45 ÷ 1000 kWh),$89.45,Maxx Saver Value 12,$125 bill credit when usage is at least 1000 kWh. 60 Day Satisfaction Guarantee with no penalty!,tel:888-250-2215,888-250-2215
https://assets.comparepower.com/images/4change_energy.svg,PUCT # 10041,24 Months,lock Locked Rate,lock,9% Green Energy,8.9¢,($89.45 ÷ 1000 kWh),$89.45,Maxx Saver Value 24,$125 bill credit when usage is at least 1000 kWh. 60 Day Satisfaction Guarantee with no penalty!,tel:888-250-2215,888-250-2215
https://assets.comparepower.com/images/discount_power.svg,PUCT # 10177,12 Months,lock Locked Rate,lock,20% Green Energy,9.0¢,($89.99 ÷ 1000 kWh),$89.99,Bill Credit Bundle 12,"Great for small- to medium-sized homes. Earn a $125 bill credit each month that you use more than or equal to 1,000 kWh. 90 Day Satisfaction Guarantee!",tel:866-996-1740,866-996-1740
https://assets.comparepower.com/images/discount_power.svg,PUCT # 10177,24 Months,lock Locked Rate,lock,20% Green Energy,9.0¢,($89.99 ÷ 1000 kWh),$89.99,Bill Credit Bundle 24,"Great for small- to medium-sized homes. Earn a $125 bill credit each month that you use more than or equal to 1,000 kWh. 90 Day Satisfaction Guarantee!",tel:866-996-1740,866-996-1740
https://assets.comparepower.com/images/cirro_energy.svg,PUCT # 10177,12 Months,lock Locked Rate,lock,20% Green Energy,9.0¢,($89.99 ÷ 1000 kWh),$89.99,Simple Bill Credit 12,"Great for small- to medium-sized homes. Earn a $125 bill credit each month that you use more than or equal to 1,000 kWh. 90 Day Satisfaction Guarantee!",tel:866-965-5660,866-965-5660
https://assets.comparepower.com/images/cirro_energy.svg,PUCT # 10177,24 Months,lock Locked Rate,lock,20% Green Energy,9.0¢,($89.99 ÷ 1000 kWh),$89.99,Simple Bill Credit 24,"Great for small- to medium-sized homes. Earn a $125 bill credit each month that you use more than or equal to 1,000 kWh. 90 Day Satisfaction Guarantee!",tel:866-965-5660,866-965-5660
https://assets.comparepower.com/images/apge.svg,PUCT # 10105,12 Months,lock Locked Rate,lock,5.85% Green Energy,9.0¢,($90.00 ÷ 1000 kWh),$90.00,SimpleSaver 12,$100 bill credit when usage is at least 1000 kWh.,tel:877-420-3510,877-420-3510
https://assets.comparepower.com/images/rhythm_energy.svg,PUCT # 10279,12 Months,lock Locked Rate,lock,100% Green Energy,9.1¢,($91.00 ÷ 1000 kWh),$91.00,Rhythm Saver 12,"If your past bills have shown you to use around 1,000 kWh per month of power, this is your plan. On top of a low rate, you'll get $100 in bill credits when you use 1,000 kWh or more of power, just like you've been doing. Price includes a $5 Auto Pay & Paperless Credit.",tel:877-825-9940,877-825-9940
https://assets.comparepower.com/images/apge.svg,PUCT # 10105,24 Months,lock Locked Rate,lock,5.85% Green Energy,9.6¢,($96.00 ÷ 1000 kWh),$96.00,SimpleSaver 24,$100 bill credit when usage is at least 1000 kWh.,tel:877-420-3510,877-420-3510
https://assets.comparepower.com/images/apge.svg,PUCT # 10105,36 Months,lock Locked Rate,lock,5.85% Green Energy,10.2¢,($102.00 ÷ 1000 kWh),$102.00,SimpleSaver 36,$100 bill credit when usage is at least 1000 kWh.,tel:877-420-3510,877-420-3510
https://assets.comparepower.com/images/atlantex_power.svg,PUCT # 10335,12 Months,lock Locked Rate,lock,7% Green Energy,11.3¢,($113.38 ÷ 1000 kWh),$113.38,Radiance1000 12,Radiance 1000: Shine bright and conserve! Get $100 back monthly when you exceed 999 kWhs. It's the ultimate plan for radiant benefits and high-energy fun. Let the glow-up start now! 90-day Satisfaction Guarantee!,tel:866-992-1590,866-992-1590
https://assets.comparepower.com/images/atlantex_power.svg,PUCT # 10335,24 Months,lock Locked Rate,lock,7% Green Energy,11.8¢,($118.38 ÷ 1000 kWh),$118.38,Radiance1000 24,Radiance 1000: Shine bright and conserve! Get $100 back monthly when you exceed 999 kWhs. It's the ultimate plan for radiant benefits and high-energy fun. Let the glow-up start now! 90-day Satisfaction Guarantee!,tel:866-992-1590,866-992-1590
https://assets.comparepower.com/images/gexa_energy.svg,PUCT # 10027,12 Months,lock Locked Rate,lock,100% Green Energy,12.0¢,($119.68 ÷ 1000 kWh),$119.68,Eco Saver Edge Plus,Great for small to medium size homes! Enjoy a $100 Usage Credit for each billing cycle when your usage on this plan is above or equal to 1000 kWh. 100% Green! New Customers 60 Day Happiness Guarantee!,tel:888-688-8460,888-688-8460
https://assets.comparepower.com/images/atlantex_power.svg,PUCT # 10335,36 Months,lock Locked Rate,lock,7% Green Energy,12.1¢,($121.38 ÷ 1000 kWh),$121.38,Radiance1000 36,Radiance 1000: Shine bright and conserve! Get $100 back monthly when you exceed 999 kWhs. It's the ultimate plan for radiant benefits and high-energy fun. Let the glow-up start now! 90-day Satisfaction Guarantee!,tel:866-992-1590,866-992-1590
https://assets.comparepower.com/images/just_energy.svg,PUCT # 10052,24 Months,lock Locked Rate,lock,31.5% Green Energy,12.6¢,($126.48 ÷ 1000 kWh),$126.48,Power Plus - 24,Receive a $100 credit if your usage is equal or greater than 1000 kWh per month! 60-Day Happiness Guarantee,tel:866-985-2820,866-985-2820
https://assets.comparepower.com/images/just_energy.svg,PUCT # 10052,12 Months,lock Locked Rate,lock,26.3% Green Energy,13.0¢,($130.48 ÷ 1000 kWh),$130.48,Power Plus - 12,Receive a $100 credit if your usage is equal or greater than 1000 kWh per month!,tel:866-985-2820,866-985-2820
https://assets.comparepower.com/images/tara_energy.svg,PUCT # 10051,24 Months,lock Locked Rate,lock,31.5% Green Energy,14.2¢,($142.48 ÷ 1000 kWh),$142.48,Value Wise - 24,Receive a $75 credit if your usage is equal or greater than 1000 kWh per month!,tel:877-599-2580,877-599-2580
https://assets.comparepower.com/images/tara_energy.svg,PUCT # 10051,12 Months,lock Locked Rate,lock,31.5% Green Energy,14.3¢,($143.48 ÷ 1000 kWh),$143.48,Value Wise - 12,Receive a $75 credit if your usage is equal or greater than 1000 kWh per month!,tel:877-599-2580,877-599-2580
https://assets.comparepower.com/images/reliant.svg,PUCT # 10007,24 Months,lock Locked Rate,lock,20% Green Energy,14.5¢,($144.61 ÷ 1000 kWh),$144.61,Power Savings 24 plan,"Enjoy a locked-in energy charge and receive a $50 bill credit if your monthly usage equals or exceeds 1,000 kWh. 90 Day Satisfaction Guarantee!",tel:866-983-4620,866-983-4620
