City,Keyword,Search Volume,Competition,CPC,Difficulty,Intent,Category,Target Page,Priority
Dallas,"dallas electricity",1840,high,8.50,90,commercial,primary,/texas/dallas/,8
Dallas,"electricity plans dallas",1380,high,7.25,85,commercial,primary,/texas/dallas/,8
Dallas,"dallas electric rates",920,medium,5.50,55,commercial,primary,/texas/dallas/,7
Dallas,"power companies dallas",690,medium,4.75,50,commercial,primary,/texas/dallas/,7
Dallas,"dallas energy rates",580,medium,4.25,45,commercial,primary,/texas/dallas/,6
Dallas,"electricity providers dallas",520,medium,5.25,60,commercial,primary,/texas/dallas/,6
Dallas,"dallas electric plans",460,medium,4.50,50,commercial,primary,/texas/dallas/,6
Dallas,"power plans dallas",410,medium,4.25,45,commercial,primary,/texas/dallas/,6
Dallas,"dallas tx electricity",380,low,3.75,35,commercial,primary,/texas/dallas/,7
Dallas,"electricity dallas texas",340,low,3.50,30,commercial,primary,/texas/dallas/,7
Dallas,"best electricity rates dallas",580,high,9.75,95,commercial,commercial,/texas/dallas/,7
Dallas,"cheap electricity dallas",520,high,8.25,90,commercial,commercial,/texas/dallas/,7
Dallas,"compare electricity dallas",460,medium,6.50,65,commercial,commercial,/texas/dallas/,7
Dallas,"switch electricity dallas",290,medium,5.25,55,transactional,commercial,/texas/dallas/,8
Dallas,"dallas electricity comparison",230,medium,5.75,60,commercial,commercial,/texas/dallas/,6
Dallas,"dallas power plan comparison",180,low,4.25,40,commercial,commercial,/texas/dallas/,7
Dallas,"fixed rate electricity dallas",320,medium,5.75,60,commercial,secondary,/texas/dallas/fixed-rate/,7
Dallas,"dallas fixed rate plans",260,medium,5.25,55,commercial,secondary,/texas/dallas/fixed-rate/,7
Dallas,"fixed rate power dallas",210,low,4.50,40,commercial,secondary,/texas/dallas/fixed-rate/,7
Dallas,"dallas fixed rate rates",180,low,4.25,35,commercial,secondary,/texas/dallas/fixed-rate/,6
Dallas,"best fixed rate electricity dallas",150,medium,6.25,65,commercial,secondary,/texas/dallas/fixed-rate/,6
Dallas,"dallas fixed rate energy plans",120,low,4.75,45,commercial,secondary,/texas/dallas/fixed-rate/,6
Dallas,"12 month electricity dallas",380,medium,6.25,65,commercial,secondary,/texas/dallas/12-month/,7
Dallas,"dallas annual plans",300,medium,5.75,60,commercial,secondary,/texas/dallas/12-month/,7
Dallas,"12 month power dallas",240,low,4.75,45,commercial,secondary,/texas/dallas/12-month/,7
Dallas,"dallas 12 month rates",200,low,4.25,40,commercial,secondary,/texas/dallas/12-month/,6
Dallas,"best 12 month electricity dallas",160,medium,6.75,70,commercial,secondary,/texas/dallas/12-month/,6
Dallas,"dallas 12 month energy plans",130,low,5.25,50,commercial,secondary,/texas/dallas/12-month/,6
Dallas,"green energy electricity dallas",420,medium,6.50,65,commercial,secondary,/texas/dallas/green-energy/,7
Dallas,"dallas 100% green plans",340,medium,6.25,60,commercial,secondary,/texas/dallas/green-energy/,7
Dallas,"renewable power dallas",280,low,5.75,45,commercial,secondary,/texas/dallas/green-energy/,7
Dallas,"dallas green energy rates",220,low,5.25,40,commercial,secondary,/texas/dallas/green-energy/,6
Dallas,"best green energy electricity dallas",180,medium,7.25,70,commercial,secondary,/texas/dallas/green-energy/,6
Dallas,"dallas renewable energy plans",150,low,6.75,55,commercial,secondary,/texas/dallas/green-energy/,6
Dallas,"how to choose electricity provider dallas",85,low,2.10,25,informational,long-tail,/texas/dallas/,6
Dallas,"dallas electricity rates comparison 2024",65,low,3.25,30,commercial,long-tail,/texas/dallas/,6
